%ETP journaliere station de Djougou
%memes donnees que JV
%date	ETP
02  10  05	3.73
03  10  05	3.36
04  10  05	3.55
05  10  05	2.96
06  10  05	3.23
07  10  05	3.63
08  10  05	4.08
09  10  05	4.16
10  10  05	4.47
11  10  05	2.03
12  10  05	3.69
13  10  05	4.36
14  10  05	4.54
15  10  05	4.06
16  10  05	3.49
17  10  05	4.53
18  10  05	4.33
19  10  05	3.71
20  10  05	3.42
21  10  05	2.7
22  10  05	4.17
23  10  05	4.35
24  10  05	3.75
25  10  05	4.48
26  10  05	3.79
27  10  05	4.27
28  10  05	4.05
29  10  05	4.19
30  10  05	3.73
31  10  05	4.23
01  11  05	3.93
02  11  05	3.66
03  11  05	2.56
04  11  05	3.79
05  11  05	2.92
06  11  05	3.67
07  11  05	3.98
08  11  05	4.46
09  11  05	4.2
10  11  05	3.99
11  11  05	3.66
12  11  05	3.65
13  11  05	3.27
14  11  05	3.63
15  11  05	3.45
16  11  05	3.81
17  11  05	3.44
18  11  05	3.44
19  11  05	2.97
20  11  05	3.19
21  11  05	3.15
22  11  05	3.51
23  11  05	2.71
24  11  05	3.15
25  11  05	3.14
26  11  05	2.59
27  11  05	2.94
28  11  05	3.12
29  11  05	3.53
30  11  05	3.5
01  12  05	3.09
02  12  05	3.04
03  12  05	2.87
04  12  05	3.19
05  12  05	2.85
06  12  05	2.87
07  12  05	2.36
08  12  05	2.71
09  12  05	2.55
10  12  05	2.36
11  12  05	2.03
12  12  05	2.38
13  12  05	2.49
14  12  05	3.09
15  12  05	3.61
16  12  05	3.32
17  12  05	2.73
18  12  05	2.81
19  12  05	3.26
20  12  05	3.3
21  12  05	2.54
22  12  05	2.59
23  12  05	2
24  12  05	3.17
25  12  05	2.69
26  12  05	2.57
27  12  05	2.89
28  12  05	3.11
29  12  05	2.52
30  12  05	1.95
31  12  05	2.63
01  01  06	3.39
02  01  06	2.57
03  01  06	2.57
04  01  06	2.65
05  01  06	2
06  01  06	1.93
07  01  06	1.93
08  01  06	2.21
09  01  06	2.24
10  01  06	2.42
11  01  06	2.87
12  01  06	2.02
13  01  06	2.8
14  01  06	2.86
15  01  06	2.91
16  01  06	2.73
17  01  06	2.91
18  01  06	1.75
19  01  06	2
20  01  06	2.47
21  01  06	3.64
22  01  06	2.81
23  01  06	3.35
24  01  06	3.21
25  01  06	2.35
26  01  06	2.53
27  01  06	2.52
28  01  06	1.52
29  01  06	2.68
30  01  06	2.59
31  01  06	2.51
01  02  06	2.43
02  02  06	2.99
03  02  06	2.73
04  02  06	3.13
05  02  06	2.83
06  02  06	2.77
07  02  06	2.51
08  02  06	2.63
09  02  06	3.54
10  02  06	3.71
11  02  06	3.08
12  02  06	2.54
13  02  06	2.18
14  02  06	3.01
15  02  06	3.26
16  02  06	3.43
17  02  06	4.31
18  02  06	3.48
19  02  06	3.6
20  02  06	3.91
21  02  06	3.22
22  02  06	3.98
23  02  06	3.38
24  02  06	2.97
25  02  06	4.09
26  02  06	3.72
27  02  06	3.8
28  02  06	4.26
01  03  06	3.78
02  03  06	4.28
03  03  06	4.28
04  03  06	4.48
05  03  06	4.26
06  03  06	4.65
07  03  06	4.77
08  03  06	3.86
09  03  06	3.22
10  03  06	3.33
11  03  06	3.72
12  03  06	3.38
13  03  06	3.07
14  03  06	2.94
15  03  06	3.46
16  03  06	3.32
17  03  06	3.72
18  03  06	3.6
19  03  06	3.94
20  03  06	3.73
21  03  06	3.45
22  03  06	3.2
23  03  06	2.52
24  03  06	4.05
25  03  06	4.77
26  03  06	4.77
27  03  06	4.28
28  03  06	4.18
29  03  06	2.98
30  03  06	2.96
31  03  06	4.2
01  04  06	3.71
02  04  06	4.08
03  04  06	4.22
04  04  06	3.47
05  04  06	3.49
06  04  06	4.28
07  04  06	3.93
08  04  06	3.4
09  04  06	4.02
10  04  06	4.34
11  04  06	4.26
12  04  06	4.1
13  04  06	4.84
14  04  06	4.05
15  04  06	4.89
16  04  06	4.18
17  04  06	4.01
18  04  06	3.42
19  04  06	4.13
20  04  06	3.87
21  04  06	4.14
22  04  06	4.34
23  04  06	4.85
24  04  06	5.27
25  04  06	4.41
26  04  06	2.97
27  04  06	5.4
28  04  06	5.15
29  04  06	4.91
30  04  06	5.01
01  05  06	4.98
02  05  06	4.06
03  05  06	5.03
04  05  06	4.6
05  05  06	5.49
06  05  06	4.39
07  05  06	4.84
08  05  06	5.2
09  05  06	3.57
10  05  06	4.49
11  05  06	3.64
12  05  06	3.32
13  05  06	4.61
14  05  06	3.33
15  05  06	3.8
16  05  06	5
17  05  06	2.64
18  05  06	2.63
19  05  06	1.09
20  05  06	3.54
21  05  06	2.94
22  05  06	2.52
23  05  06	4.77
24  05  06	3.15
25  05  06	4.51
26  05  06	4.1
27  05  06	2.57
28  05  06	4.41
29  05  06	3.67
30  05  06	4.43
31  05  06	4.37
01  06  06	4.31
02  06  06	4.16
03  06  06	4.03
04  06  06	3.4
05  06  06	4.66
06  06  06	3.55
07  06  06	4.32
08  06  06	4.7
09  06  06	3.64
10  06  06	1.51
11  06  06	4.25
12  06  06	3.21
13  06  06	4.09
14  06  06	4.17
15  06  06	4.28
16  06  06	1.42
17  06  06	4.73
18  06  06	2.92
19  06  06	0.71
20  06  06	3.79
21  06  06	3.33
22  06  06	4.34
23  06  06	2.95
24  06  06	1.62
25  06  06	3.97
26  06  06	3.83
27  06  06	3.21
28  06  06	3.47
29  06  06	3.91
30  06  06	3.74
01  07  06	2.22
02  07  06	3.53
03  07  06	3.38
04  07  06	2.63
05  07  06	3.75
06  07  06	4.01
07  07  06	2.79
08  07  06	3.43
09  07  06	3.38
10  07  06	2.53
11  07  06	2.94
12  07  06	3.41
13  07  06	3.66
14  07  06	3.05
15  07  06	2.9
16  07  06	1.54
17  07  06	4.46
18  07  06	0.54
19  07  06	3.67
20  07  06	2.68
21  07  06	0.97
22  07  06	3.19
23  07  06	0.07
24  07  06	3.95
25  07  06	2.58
26  07  06	1.55
27  07  06	2.83
28  07  06	3.78
29  07  06	3.11
30  07  06	4.09
31  07  06	3.13
01  08  06	2.4
02  08  06	4.05
03  08  06	3.05
04  08  06	1.9
05  08  06	1.39
06  08  06	3.36
07  08  06	1.94
08  08  06	2.49
09  08  06	2.87
10  08  06	3.1
11  08  06	2.79
12  08  06	2.43
13  08  06	2.4
14  08  06	2.09
15  08  06	2.94
16  08  06	2.02
17  08  06	3.2
18  08  06	1.77
19  08  06	3.18
20  08  06	3.97
21  08  06	3.99
22  08  06	3.69
23  08  06	3.71
24  08  06	1.4
25  08  06	2.09
26  08  06	4.01
27  08  06	2.66
28  08  06	3.63
29  08  06	1.87
30  08  06	3.54
31  08  06	1.1
01  09  06	1.22
02  09  06	3.1
03  09  06	4.11
04  09  06	1.23
05  09  06	2.87
06  09  06	2.76
07  09  06	3.69
08  09  06	3.84
09  09  06	1.64
10  09  06	2.98
11  09  06	4.22
12  09  06	3.7
13  09  06	2.8
14  09  06	2.07
15  09  06	3.67
16  09  06	1.99
17  09  06	4.11
18  09  06	2.59
19  09  06	4.94
20  09  06	4.04
21  09  06	2.95
22  09  06	4.9
23  09  06	2.4
24  09  06	4.33
25  09  06	2.03
26  09  06	4.31
27  09  06	3.57
28  09  06	3.65
29  09  06	2.92
30  09  06	3.38
01  10  06	1.63
02  10  06	2.98
03  10  06	3.91
04  10  06	2.95
05  10  06	3.96
06  10  06	4.59
07  10  06	3.02
08  10  06	4.16
09  10  06	1.28
10  10  06	4.02
11  10  06	3.26
12  10  06	4.56
13  10  06	3.97
14  10  06	4.17
15  10  06	4.56
16  10  06	3.99
17  10  06	4.19
18  10  06	4.27
19  10  06	4.81
20  10  06	2.8
21  10  06	3.18
22  10  06	4.36
23  10  06	2.58
24  10  06	3.29
25  10  06	2.43
26  10  06	4.02
27  10  06	4.34
28  10  06	3.65
29  10  06	4.04
30  10  06	3.84
31  10  06	3.6
01  11  06	4.02
02  11  06	4.03
03  11  06	3.41
04  11  06	4.4
05  11  06	3.11
06  11  06	4.04
07  11  06	3.91
08  11  06	3.76
09  11  06	3.71
10  11  06	3.87
11  11  06	4.22
12  11  06	3.62
13  11  06	3.48
14  11  06	3.57
15  11  06	3.45
16  11  06	3.48
17  11  06	4.38
18  11  06	4.14
19  11  06	4.23
20  11  06	4.01
21  11  06	3.16
22  11  06	2.84
23  11  06	2.87
24  11  06	2.89
25  11  06	3.14
26  11  06	3.46
27  11  06	3.47
28  11  06	3.45
29  11  06	3.14
30  11  06	3.19
01  12  06	3.19
02  12  06	2.86
03  12  06	3.43
04  12  06	3.68
05  12  06	4.08
06  12  06	3.85
07  12  06	2.96
08  12  06	2.98
09  12  06	3.67
10  12  06	3.01
11  12  06	3.35
12  12  06	2.78
13  12  06	2.81
14  12  06	2.22
15  12  06	2.62
16  12  06	2.79
17  12  06	2.47
18  12  06	2.83
19  12  06	2.58
20  12  06	2.42
21  12  06	2.85
22  12  06	3.57
23  12  06	3.31
24  12  06	2.71
25  12  06	2.65
26  12  06	2.35
27  12  06	2.75
28  12  06	3.15
29  12  06	2.82
30  12  06	3.17
31  12  06	3.2
01  01  07	2.97
02  01  07	4.02
03  01  07	3.33
04  01  07	3.02
05  01  07	2.39
06  01  07	2.65
07  01  07	3.66
08  01  07	2.51
09  01  07	3.63
10  01  07	3.63
11  01  07	4.01
12  01  07	3.91
13  01  07	4.53
14  01  07	4.51
15  01  07	3.86
16  01  07	3.62
17  01  07	3.54
18  01  07	3.83
19  01  07	4.02
20  01  07	3.86
21  01  07	2.73
22  01  07	3.2
23  01  07	2.94
24  01  07	3.32
25  01  07	2.73
26  01  07	3.65
27  01  07	2.91
28  01  07	3.36
29  01  07	2.43
30  01  07	3.14
31  01  07	3.57
01  02  07	3.14
02  02  07	3.39
03  02  07	3.39
04  02  07	3.76
05  02  07	2.98
06  02  07	2.69
07  02  07	3.33
08  02  07	3.66
09  02  07	3.08
10  02  07	2.47
11  02  07	3.22
12  02  07	3.4
13  02  07	4.62
14  02  07	4.82
15  02  07	4.66
16  02  07	3.96
17  02  07	3.57
18  02  07	3.27
19  02  07	3.7
20  02  07	3.28
21  02  07	3
22  02  07	3.04
23  02  07	3.13
24  02  07	3.33
25  02  07	3.22
26  02  07	3.29
27  02  07	4.11
28  02  07	4.39
01  03  07	4.69
02  03  07	5.39
03  03  07	5.77
04  03  07	4.56
05  03  07	4.41
06  03  07	4.85
07  03  07	5.11
08  03  07	4.32
09  03  07	3.86
10  03  07	3.66
11  03  07	3.94
12  03  07	2.84
13  03  07	3.85
14  03  07	2.77
15  03  07	3.14
16  03  07	3.31
17  03  07	2.87
18  03  07	3.14
19  03  07	3.4
20  03  07	3.46
21  03  07	3.98
22  03  07	4.16
23  03  07	4.47
24  03  07	4.05
25  03  07	2.52
26  03  07	4.43
27  03  07	3.92
28  03  07	4.84
29  03  07	4.05
30  03  07	4.19
31  03  07	4.05
01  04  07	5.19
02  04  07	4.2
03  04  07	3.13
04  04  07	4.7
05  04  07	4.9
06  04  07	1.65
07  04  07	4.98
08  04  07	1.46
09  04  07	5.24
10  04  07	5.25
11  04  07	4.87
12  04  07	4.13
13  04  07	4.37
14  04  07	3.15
15  04  07	4.81
16  04  07	4.96
17  04  07	4.56
18  04  07	5.64
19  04  07	4.1
20  04  07	4.83
21  04  07	5.21
22  04  07	4.15
23  04  07	4.45
24  04  07	3.3
25  04  07	5.6
26  04  07	4.43
27  04  07	4.61
28  04  07	2.43
29  04  07	3.81
30  04  07	4.31
01  05  07	4.8
02  05  07	4.34
03  05  07	4.53
04  05  07	3.89
05  05  07	4.66
06  05  07	4.04
07  05  07	4.49
08  05  07	4.13
09  05  07	4.01
10  05  07	4.06
11  05  07	4.22
12  05  07	4.15
13  05  07	4.53
14  05  07	4.21
15  05  07	4.12
16  05  07	4.58
17  05  07	3.61
18  05  07	3.38
19  05  07	3.53
20  05  07	3.8
21  05  07	3.85
22  05  07	3.75
23  05  07	4.25
24  05  07	4.02
25  05  07	4.26
26  05  07	4.2
27  05  07	3.25
28  05  07	3.4
29  05  07	4.17
30  05  07	3.7
31  05  07	3.64
01  06  07	3.33
02  06  07	3.33
03  06  07	3.94
04  06  07	3.9
05  06  07	3.27
06  06  07	3.65
07  06  07	3.8
08  06  07	3.85
09  06  07	4.17
10  06  07	3.55
11  06  07	2.87
12  06  07	3.32
13  06  07	3.39
14  06  07	2.96
15  06  07	3.32
16  06  07	3.38
17  06  07	3.37
18  06  07	3.57
19  06  07	3.04
20  06  07	3.36
21  06  07	3.51
22  06  07	3.14
23  06  07	3.5
24  06  07	3.92
25  06  07	3.39
26  06  07	4.17
27  06  07	4.34
28  06  07	3.56
29  06  07	2.29
30  06  07	3.53
01  07  07	2.98
02  07  07	1.35
03  07  07	2.65
04  07  07	4.39
05  07  07	2.96
06  07  07	3.35
07  07  07	3.62
08  07  07	3.72
09  07  07	2.72
10  07  07	2.52
11  07  07	3.19
12  07  07	3.39
13  07  07	2.99
14  07  07	2.85
15  07  07	1.13
16  07  07	1.93
17  07  07	1.65
18  07  07	3.53
19  07  07	3.14
20  07  07	3.34
21  07  07	1.62
22  07  07	3.75
23  07  07	2.09
24  07  07	2.78
25  07  07	4.15
26  07  07	0.77
27  07  07	3.6
28  07  07	1.6
29  07  07	3.03
30  07  07	4.98
31  07  07	3.78
01  08  07	1.54
02  08  07	2.04
03  08  07	0.88
04  08  07	4.36
05  08  07	3.05
06  08  07	2.13
07  08  07	1.89
08  08  07	3.83
09  08  07	1.33
10  08  07	3.96
11  08  07	1.92
12  08  07	0.82
13  08  07	4.31
14  08  07	0.65
15  08  07	2.77
16  08  07	2.2
17  08  07	4.21
18  08  07	1.71
19  08  07	2.99
20  08  07	3.06
21  08  07	0.4
22  08  07	3.01
23  08  07	2.99
24  08  07	1.63
25  08  07	2.71
26  08  07	2.56
27  08  07	2.12
28  08  07	0.82
29  08  07	3.76
30  08  07	3.87
31  08  07	3.05
01  09  07	3.18
02  09  07	2.16
03  09  07	3.33
04  09  07	1.73
05  09  07	3.93
06  09  07	2.47
07  09  07	1.64
08  09  07	4.01
09  09  07	4.29
10  09  07	2.89
11  09  07	2.49
12  09  07	4.37
13  09  07	4.23
14  09  07	3.48
15  09  07	3.26
16  09  07	4.09
17  09  07	3.87
18  09  07	2.44
19  09  07	2.71
20  09  07	4.75
21  09  07	3.13
22  09  07	4.35
23  09  07	3.94
24  09  07	2.91
25  09  07	4.84
26  09  07	4.13
27  09  07	4.03
28  09  07	4.05
29  09  07	4.59
30  09  07	3.23
01  10  07	4.65
02  10  07	4.93
03  10  07	3.64
04  10  07	3.53
05  10  07	3.78
06  10  07	3.86
07  10  07	4.24
08  10  07	3.66
09  10  07	3.55
10  10  07	3.4
11  10  07	3.86
12  10  07	3.89
13  10  07	3.87
14  10  07	4.46
15  10  07	2.11
16  10  07	3.94
17  10  07	4.06
18  10  07	3.9
19  10  07	4.19
20  10  07	3.61
21  10  07	2.81
22  10  07	2.65
23  10  07	4.41
24  10  07	3.67
25  10  07	3.27
26  10  07	3.78
27  10  07	3.71
28  10  07	3.35
29  10  07	3.99
30  10  07	3.77
31  10  07	3.93
01  11  07	3.66
02  11  07	4.29
03  11  07	3.67
04  11  07	3.5
05  11  07	3.84
06  11  07	3.59
07  11  07	3.11
08  11  07	3.91
09  11  07	2.45
10  11  07	4
11  11  07	1.85
12  11  07	4.11
13  11  07	3.26
14  11  07	3.48
15  11  07	2.77
16  11  07	2.46
17  11  07	2.83
18  11  07	3.69
19  11  07	3.89
20  11  07	3.33
21  11  07	3.71
22  11  07	3.54
23  11  07	3.33
24  11  07	3.46
25  11  07	3.28
26  11  07	2.86
27  11  07	2.83
28  11  07	2.56
29  11  07	2.19
30  11  07	2.83
01  12  07	2.98
02  12  07	3.06
03  12  07	2.31
04  12  07	1.55
05  12  07	1.47
06  12  07	2.86
07  12  07	2.38
08  12  07	2.76
09  12  07	1.87
10  12  07	2.26
11  12  07	2.77
12  12  07	3.84
13  12  07	3.17
14  12  07	2.63
15  12  07	2.8
16  12  07	2.63
17  12  07	1.97
18  12  07	2.34
19  12  07	2.09
20  12  07	2.84
21  12  07	3.91
22  12  07	3.27
23  12  07	3.34
24  12  07	3.15
25  12  07	2.42
26  12  07	2.1
27  12  07	2.4
28  12  07	2.22
29  12  07	2.46
30  12  07	1.59
31  12  07	2.32
01  01  08	3.2
02  01  08	2.63
03  01  08	2.78
04  01  08	3.14
05  01  08	2.07
06  01  08	1.99
07  01  08	2.56
08  01  08	2.07
09  01  08	2.94
10  01  08	3.19
11  01  08	2.65
12  01  08	3.61
13  01  08	2.75
14  01  08	2.65
15  01  08	2.37
16  01  08	2.87
17  01  08	3.1
18  01  08	4.17
19  01  08	3.67
20  01  08	3.15
21  01  08	4.34
22  01  08	4.41
23  01  08	4.15
24  01  08	3.85
25  01  08	3.52
26  01  08	3.82
27  01  08	4.68
28  01  08	4.8
29  01  08	4.87
30  01  08	4.23
31  01  08	4.04
01  02  08	4.59
02  02  08	3.43
03  02  08	3.12
04  02  08	3.18
05  02  08	3.07
06  02  08	2.44
07  02  08	3.32
08  02  08	3.79
09  02  08	3.44
10  02  08	3.08
11  02  08	4.69
12  02  08	4.83
13  02  08	4.79
14  02  08	5.05
15  02  08	4.13
16  02  08	4.11
17  02  08	4.72
18  02  08	5.27
19  02  08	5.31
20  02  08	5.38
21  02  08	4.38
22  02  08	4.07
23  02  08	3.5
24  02  08	3.76
25  02  08	3.93
26  02  08	3.09
27  02  08	3.67
28  02  08	3.92
29  02  08	2.98
01  03  08	3.3
02  03  08	3.93
03  03  08	4.12
04  03  08	3.82
05  03  08	4.07
06  03  08	3.9
07  03  08	3.6
08  03  08	3.86
09  03  08	3.53
10  03  08	3.87
11  03  08	4.15
12  03  08	3.92
13  03  08	2.44
14  03  08	3.24
15  03  08	5.27
16  03  08	4.31
17  03  08	3.05
18  03  08	4.25
19  03  08	4.38
20  03  08	4.5
21  03  08	4.85
22  03  08	4.37
23  03  08	4.19
24  03  08	4.05
25  03  08	5.11
26  03  08	4.81
27  03  08	5.7
28  03  08	4.75
29  03  08	4.65
30  03  08	5.01
31  03  08	4.76
01  04  08	4.08
02  04  08	5.36
03  04  08	4.87
04  04  08	3.88
05  04  08	2.51
06  04  08	4.64
07  04  08	4.91
08  04  08	4.64
09  04  08	2.72
10  04  08	4.05
11  04  08	4.14
12  04  08	4.3
13  04  08	4.62
14  04  08	4.62
15  04  08	4.51
16  04  08	4.89
17  04  08	4.91
18  04  08	4.66
19  04  08	3.93
20  04  08	4.6
21  04  08	5.04
22  04  08	5.37
23  04  08	5.05
24  04  08	3.79
25  04  08	5.98
26  04  08	3.6
27  04  08	5.24
28  04  08	1.31
29  04  08	4.24
30  04  08	4.81
01  05  08	4.13
02  05  08	4.84
03  05  08	4.11
04  05  08	4.53
05  05  08	2.45
06  05  08	3.73
07  05  08	3.69
08  05  08	3.54
09  05  08	5.01
10  05  08	4.16
11  05  08	4.25
12  05  08	4.43
13  05  08	5.03
14  05  08	2.29
15  05  08	3.83
16  05  08	4.81
17  05  08	3.47
18  05  08	3.59
19  05  08	0.56
20  05  08	4.44
21  05  08	4.77
22  05  08	4.79
23  05  08	4.16
24  05  08	4.36
25  05  08	4.44
26  05  08	2.32
27  05  08	3.44
28  05  08	4.63
29  05  08	4.74
30  05  08	4.29
31  05  08	2.29
01  06  08	2.77
02  06  08	5.13
03  06  08	4.48
04  06  08	2.11
05  06  08	3.75
06  06  08	4.59
07  06  08	3.79
08  06  08	4.92
09  06  08	3.67
10  06  08	2.42
11  06  08	3.53
12  06  08	3.7
13  06  08	3.18
14  06  08	1.67
15  06  08	4.44
16  06  08	4.55
17  06  08	3.68
18  06  08	4.33
19  06  08	2.11
20  06  08	4.7
21  06  08	4.81
22  06  08	4.23
23  06  08	3.1
24  06  08	3.33
25  06  08	2.23
26  06  08	2.08
27  06  08	3.55
28  06  08	3.96
29  06  08	2.96
30  06  08	3.18
01  07  08	0.53
02  07  08	2.3
03  07  08	4.78
04  07  08	3.8
05  07  08	3.18
06  07  08	3.93
07  07  08	-0.11
08  07  08	2.9
09  07  08	2.91
10  07  08	3.05
11  07  08	3.57
12  07  08	3.53
13  07  08	3.71
14  07  08	3.83
15  07  08	3.65
16  07  08	2.43
17  07  08	3.24
18  07  08	3.58
19  07  08	1.93
20  07  08	0.92
21  07  08	3.04
22  07  08	2.32
23  07  08	2.28
24  07  08	3.83
25  07  08	2.96
26  07  08	3.99
27  07  08	2.9
28  07  08	1.17
29  07  08	3.31
30  07  08	3.55
31  07  08	4.27
01  08  08	3.16
02  08  08	2.95
03  08  08	4.23
04  08  08	0.95
05  08  08	2.22
06  08  08	3.08
07  08  08	3.68
08  08  08	2.22
09  08  08	3.48
10  08  08	2.36
11  08  08	4.8
12  08  08	3.28
13  08  08	1.24
14  08  08	2.81
15  08  08	3.4
16  08  08	2.92
17  08  08	2.79
18  08  08	2.28
19  08  08	1.65
20  08  08	2.7
21  08  08	2.23
22  08  08	2.42
23  08  08	2.83
24  08  08	3.92
25  08  08	3.92
26  08  08	1.31
27  08  08	3.67
28  08  08	2.07
29  08  08	2.58
30  08  08	3.13
31  08  08	3.81
01  09  08	2.4
02  09  08	4.47
03  09  08	4.33
04  09  08	4.23
05  09  08	1.1
06  09  08	2.4
07  09  08	2.23
08  09  08	4.83
09  09  08	3.79
10  09  08	2.95
11  09  08	3.29
12  09  08	3.41
13  09  08	3.56
14  09  08	4.8
15  09  08	0.94
16  09  08	0.56
17  09  08	2.13
18  09  08	4.62
19  09  08	4.41
20  09  08	3.86
21  09  08	4.03
22  09  08	5.75
23  09  08	4
24  09  08	2.77
25  09  08	4.48
26  09  08	3.02
27  09  08	3.62
28  09  08	5.1
29  09  08	3.51
30  09  08	4.51
01  10  08	3.4
02  10  08	4.76
03  10  08	5.08
04  10  08	2.56
05  10  08	3.83
06  10  08	3.36
07  10  08	4.22
08  10  08	4.8
09  10  08	4.57
10  10  08	3.75
11  10  08	4.5
12  10  08	4.11
13  10  08	4.19
14  10  08	5.07
15  10  08	4.77
16  10  08	4.54
17  10  08	4.18
18  10  08	5.16
19  10  08	4.5
20  10  08	5
21  10  08	4.82
22  10  08	4.71
23  10  08	5.01
24  10  08	4.74
25  10  08	4.56
26  10  08	4.07
27  10  08	3.95
28  10  08	3.57
29  10  08	4.25
30  10  08	4.25
31  10  08	3.72
01  11  08	3.56
02  11  08	2.84
03  11  08	3.57
04  11  08	3.41
05  11  08	2.9
06  11  08	3.69
07  11  08	3.47
08  11  08	3.56
09  11  08	3.67
10  11  08	3.55
11  11  08	2.51
12  11  08	3.77
13  11  08	3.62
14  11  08	3.72
15  11  08	3.45
16  11  08	3.36
17  11  08	2.62
18  11  08	3.59
19  11  08	2.72
20  11  08	2.84
21  11  08	2.19
22  11  08	3.49
23  11  08	3.55
24  11  08	3.56
25  11  08	3.26
26  11  08	3.27
27  11  08	2.98
28  11  08	3.15
29  11  08	3.39
30  11  08	2.8
01  12  08	3.19
02  12  08	3
03  12  08	2.75
04  12  08	3.52
05  12  08	2.84
06  12  08	3.32
07  12  08	3.23
08  12  08	3.04
09  12  08	3.16
10  12  08	2.93
11  12  08	2.72
12  12  08	2.77
13  12  08	2.8
14  12  08	2.73
15  12  08	2.63
16  12  08	3.17
17  12  08	2.09
18  12  08	1.94
19  12  08	3.19
20  12  08	3.38
21  12  08	3.31
22  12  08	3.8
23  12  08	3.9
24  12  08	4.17
25  12  08	3.81
26  12  08	2.6
27  12  08	2.81
28  12  08	2.87
29  12  08	2.52
30  12  08	3.38
31  12  08	3.07
